Gene	bNum	Rna_37C	Rna_10min	Rna_30min	Rna_2hr	Rna_3hr	Rna_4hr	Rna_6hr	Filter_2f	Cluster group	First ORF	ORF start	TSS	5'UTR length	Other TSS
ycjM	b1309	0.00E+00	3.16E-06	5.56E-06	3.47E-06	2.30E-06	6.36E-06	7.50E-06	NO						
ycjN	b1310	3.26E-06	3.95E-07	3.70E-06	2.65E-06	2.05E-06	2.98E-06	8.75E-06	NO						
ycjO	b1311	0.00E+00	7.91E-07	1.16E-06	1.63E-06	7.68E-07	3.08E-06	2.50E-06	NO						
ycjP	b1312	0.00E+00	5.93E-07	8.49E-07	2.04E-06	1.79E-06	3.31E-06	3.33E-06	NO						
ycjQ	b1313	2.02E-06	1.78E-06	3.24E-06	4.24E-06	2.05E-06	3.90E-06	6.67E-06	NO						
ycjR	b1314	0.00E+00	1.38E-06	2.45E-06	3.36E-06	1.02E-06	4.31E-06	4.16E-06	NO						
ycjS	b1315	1.71E-06	2.17E-06	5.79E-06	2.65E-06	6.14E-06	6.36E-06	6.67E-06	NO						
ycjT	b1316	4.35E-06	3.96E-06	5.33E-06	9.79E-06	1.26E-05	1.57E-05	2.42E-05	NO						
ycjU	b1317	0.00E+00	1.38E-06	9.25E-07	1.83E-06	4.35E-06	2.49E-06	4.16E-06	NO						
ycjV	b4524	1.13E-05	2.57E-06	2.78E-06	3.87E-06	1.54E-06	6.57E-06	5.83E-06	NO						
ycjV	b4524	0.00E+00	0.00E+00	2.29E-07	2.02E-07	0.00E+00	1.02E-07	0.00E+00	NO						
ompG	b1319	0.00E+00	1.19E-06	4.63E-07	2.65E-06	5.12E-06	3.27E-06	3.33E-06	NO						
ycjX	b1321	5.97E-05	6.73E-05	5.88E-05	5.97E-05	4.81E-05	6.80E-05	5.81E-05	NO						
ycjF	b1322	4.07E-05	4.05E-05	5.51E-05	4.35E-05	5.58E-05	4.85E-05	6.17E-05	NO						
tyrR	b1323	2.00E-04	1.64E-04	2.14E-04	2.92E-04	3.11E-04	2.74E-04	2.62E-04	NO						
ycjG	b1325	1.54E-05	2.39E-05	7.27E-05	1.42E-04	1.44E-04	1.60E-04	2.47E-04	NO						
ycjZ	b1328	2.41E-05	2.49E-05	1.82E-05	4.61E-05	3.18E-05	6.09E-05	4.97E-05	NO						
mppA	b1329	1.11E-04	1.04E-04	9.64E-05	1.03E-04	1.36E-04	1.41E-04	1.36E-04	NO						
insH	b1331	6.80E-05	9.72E-05	8.41E-05	1.07E-04	1.25E-04	8.33E-05	6.96E-05	NO						
ynaJ	b1332	1.41E-04	9.55E-05	1.03E-04	1.92E-04	1.70E-04	2.05E-04	1.41E-04	NO						
abgR	b1339	7.15E-06	2.37E-06	3.70E-06	8.05E-06	9.73E-06	1.13E-05	6.66E-06	NO						
ydaL	b1340	2.12E-05	2.90E-05	2.61E-05	2.88E-05	3.38E-05	2.42E-05	2.61E-05	NO						
ydaN	b1342	4.24E-05	3.95E-05	3.67E-05	5.41E-05	5.73E-05	6.13E-05	5.42E-05	NO						
dbpA	b1343	1.65E-05	3.92E-05	5.57E-05	9.44E-05	9.19E-05	9.55E-05	1.29E-04	NO						
sieB	b1353	6.05E-06	9.87E-07	6.94E-07	8.15E-07	1.02E-06	2.05E-07	8.32E-07	NO						
ydaS	b1357	0.00E+00	4.53E-06	2.77E-06	3.46E-06	3.06E-06	6.55E-06	2.49E-06	NO						
ydaT	b1358	0.00E+00	3.16E-06	2.31E-06	4.64E-06	2.30E-06	3.11E-06	4.99E-06	NO						
ydaU	b1359	1.55E-07	3.36E-06	2.82E-06	8.36E-06	5.12E-06	6.77E-06	6.66E-06	NO						
ydaV	b1360	1.24E-06	1.78E-06	3.47E-06	8.36E-06	2.81E-06	7.80E-06	9.99E-06	NO						
ydaW	b1361	0.00E+00	2.17E-06	2.31E-06	2.85E-06	2.81E-06	8.20E-06	7.49E-06	NO						
rzpR	b1362	0.00E+00	1.68E-06	3.01E-06	4.58E-06	7.41E-06	5.64E-06	2.50E-06	NO						
rzoR	b4528	0.00E+00	7.86E-07	1.18E-06	1.58E-06	1.91E-06	1.94E-06	0.00E+00	NO						
trkG	b1363	1.71E-05	2.21E-05	1.71E-05	1.70E-05	1.25E-05	3.36E-05	3.17E-05	NO						
ynaK	b1365	0.00E+00	4.73E-06	2.31E-06	3.05E-06	7.65E-07	6.14E-07	5.81E-06	NO						
ydaY	b1366	0.00E+00	4.74E-06	5.32E-06	4.68E-06	5.37E-06	4.01E-06	4.99E-06	NO						
ynaA	b1368	2.02E-06	3.36E-06	5.32E-06	7.75E-06	6.66E-06	8.82E-06	6.67E-06	NO						
lomR	b4570	0.00E+00	1.97E-07	3.69E-06	1.62E-06	2.04E-06	2.62E-06	1.66E-06	NO						
lomR	b4570	0.00E+00	3.93E-07	1.44E-06	2.03E-07	1.02E-06	1.14E-06	0.00E+00	NO						
stfR	b1372	4.35E-06	5.34E-06	7.65E-06	1.09E-05	1.27E-05	1.27E-05	1.67E-05	NO						
tfaR	b1373	6.21E-07	5.93E-07	1.76E-06	3.43E-06	3.87E-06	6.63E-06	6.38E-06	NO						
ydbJ	b4529	1.45E-05	1.73E-05	2.10E-05	1.98E-05	1.85E-05	1.68E-05	1.76E-05	NO						
ydbH	b1381	2.47E-05	8.45E-05	8.72E-05	7.83E-05	8.91E-05	8.77E-05	8.42E-05	NO						
ynbE	b1382	0.00E+00	8.26E-06	6.91E-06	6.29E-06	4.33E-06	6.73E-06	9.12E-06	NO						
ydbL	b1383	6.36E-06	2.32E-05	1.90E-05	1.12E-05	1.17E-05	1.29E-05	1.70E-05	NO						
feaB	b1385	8.71E-06	1.23E-05	2.55E-05	8.62E-05	1.03E-04	1.29E-04	1.38E-04	NO						
paaA	b1388	0.00E+00	7.91E-07	4.40E-06	1.43E-06	7.68E-07	1.03E-06	8.33E-07	NO						
paaB	b1389	0.00E+00	1.97E-07	1.39E-06	2.03E-07	1.02E-06	4.09E-07	0.00E+00	NO						
paaC	b1390	0.00E+00	1.38E-06	9.26E-07	4.08E-07	2.05E-06	1.13E-06	3.33E-06	NO						
paaD	b1391	4.35E-06	1.97E-07	1.16E-06	1.22E-06	0.00E+00	8.20E-07	1.66E-06	NO						
paaE	b1392	0.00E+00	2.57E-06	5.09E-06	3.47E-06	3.58E-06	3.28E-06	2.50E-06	NO						
paaF	b1393	1.55E-07	1.19E-06	1.62E-06	1.22E-06	5.12E-07	1.03E-06	8.33E-07	NO						
paaG	b1394	1.06E-05	1.98E-06	1.16E-06	1.43E-06	5.89E-06	1.44E-06	2.50E-06	NO						
paaH	b1395	0.00E+00	4.35E-06	4.40E-06	5.30E-06	5.12E-07	4.49E-06	5.83E-06	NO						
paaI	b1396	0.00E+00	5.92E-07	1.85E-06	1.20E-06	0.00E+00	2.87E-06	1.66E-06	NO						
paaJ	b1397	0.00E+00	2.57E-06	6.25E-06	1.39E-05	1.72E-05	2.34E-05	4.39E-05	NO						
paaK	b1398	1.31E-05	1.19E-05	1.16E-05	1.39E-05	1.43E-05	2.19E-05	3.36E-05	NO						
paaX	b1399	1.85E-05	2.25E-05	1.95E-05	4.77E-05	4.71E-05	6.70E-05	4.92E-05	NO						
paaY	b1400	5.75E-06	1.78E-05	2.13E-05	2.56E-05	2.84E-05	3.91E-05	4.58E-05	NO						
ydbA	b4492	1.29E-05	5.74E-06	1.07E-05	1.41E-05	1.77E-05	1.81E-05	1.25E-05	NO						
ydbA	b4492	0.00E+00	0.00E+00	0.00E+00	3.93E-07	0.00E+00	3.29E-07	0.00E+00	NO						
ydbA	b4492	1.17E-04	1.28E-04	1.47E-04	1.66E-04	1.95E-04	3.07E-04	4.09E-04	NO						
insI	b1404	2.69E-05	2.05E-05	1.81E-05	3.60E-05	4.17E-05	5.15E-05	3.11E-05	NO						
ydbC	b1406	6.68E-06	4.35E-06	8.33E-06	8.16E-06	1.10E-05	1.34E-05	1.27E-05	NO						
ydbD	b1407	3.11E-06	6.33E-06	9.96E-06	1.69E-05	2.23E-05	2.79E-05	1.75E-05	NO						
ynbA	b1408	0.00E+00	0.00E+00	2.54E-06	1.73E-06	2.56E-06	5.02E-06	2.50E-06	NO						
ynbB	b1409	4.82E-06	0.00E+00	6.94E-07	1.02E-06	0.00E+00	2.46E-06	3.33E-06	NO						
ynbC	b1410	6.22E-06	4.94E-06	7.87E-06	2.00E-05	2.95E-05	2.48E-05	2.33E-05	NO						
ynbD	b1411	1.52E-05	4.55E-06	1.20E-05	2.65E-05	3.41E-05	4.36E-05	2.58E-05	NO						
hrpA	b1413	3.06E-04	3.26E-04	4.24E-04	1.17E-03	1.40E-03	1.56E-03	9.42E-04	NO						
ydcF	b1414	2.21E-05	2.61E-05	2.38E-05	3.98E-05	5.57E-05	6.29E-05	4.58E-05	NO						
aldA	b1415	8.44E-05	6.27E-05	6.30E-05	5.57E-05	5.38E-05	4.24E-05	3.25E-05	NO						
cybB	b1418	6.43E-05	4.60E-05	3.78E-05	3.07E-05	3.71E-05	2.92E-05	2.25E-05	NO						
ydcA	b1419	0.00E+00	1.38E-05	9.22E-06	1.07E-05	2.00E-05	1.13E-05	1.36E-05	NO						
trg	b1421	6.06E-06	2.61E-05	6.14E-05	1.42E-04	1.35E-04	9.49E-05	9.00E-05	NO						
ydcJ	b1423	0.00E+00	3.60E-06	1.25E-05	3.05E-05	3.64E-05	2.83E-05	1.83E-05	NO						
mdoD	b1424	1.30E-04	1.12E-04	7.86E-05	1.13E-04	1.09E-04	1.15E-04	7.67E-05	NO						
ydcH	b1426	7.12E-06	1.09E-05	5.98E-06	9.75E-06	1.15E-05	9.51E-06	9.13E-06	NO						
rimL	b1427	6.52E-06	1.49E-05	1.88E-05	2.62E-05	2.05E-05	2.34E-05	2.25E-05	NO						
tehA	b1429	1.74E-05	1.90E-05	2.64E-05	5.22E-05	5.73E-05	6.19E-05	9.25E-05	NO						
tehB	b1430	2.33E-05	2.16E-05	1.78E-05	2.20E-05	2.66E-05	3.34E-05	5.16E-05	NO						
ydcL	b1431	4.04E-05	2.53E-05	2.27E-05	2.06E-05	2.76E-05	3.52E-05	4.75E-05	NO						
ydcM	b1432	6.75E-05	5.99E-05	6.85E-05	1.23E-04	1.75E-04	1.38E-04	1.45E-04	NO						
ydcN	b1434	8.23E-06	1.80E-05	2.24E-05	1.20E-05	9.72E-06	1.00E-05	5.83E-06	NO						
ydcP	b1435	1.82E-04	2.37E-04	2.17E-04	8.53E-05	6.28E-05	3.66E-05	3.63E-05	NO						
yncN	b4532	9.58E-06	5.97E-06	6.67E-06	6.79E-06	5.85E-06	3.02E-06	6.63E-06	NO						
ydcQ	b1438	1.32E-05	6.71E-06	4.91E-06	8.35E-06	1.43E-05	7.95E-06	5.82E-06	NO						
ydcR	b1439	2.52E-05	6.01E-05	8.13E-05	8.35E-05	7.55E-05	5.91E-05	4.42E-05	NO						
ydcS	b1440	1.34E-05	5.81E-06	1.25E-05	1.24E-05	1.64E-05	1.46E-05	1.08E-05	NO						
ydcT	b1441	3.42E-06	4.15E-06	6.02E-06	1.17E-05	9.90E-06	7.39E-06	8.33E-06	NO						
ydcU	b1442	1.55E-07	2.57E-06	3.70E-06	6.93E-06	7.94E-06	9.23E-06	7.50E-06	NO						
ydcV	b1443	6.37E-06	1.78E-06	3.01E-06	6.52E-06	2.56E-06	5.95E-06	1.67E-06	NO						
ydcW	b1444	1.23E-05	8.50E-06	9.49E-06	1.67E-05	1.43E-05	1.23E-05	1.25E-05	NO						
ydcX	b1445	0.00E+00	8.96E-06	2.99E-06	4.66E-06	1.43E-06	4.01E-06	3.31E-06	NO						
ydcY	b1446	7.76E-05	5.47E-05	4.34E-05	4.11E-05	3.77E-05	3.01E-05	3.11E-05	NO						
yncB	b1449	1.40E-06	9.69E-06	1.18E-05	1.55E-05	9.73E-06	1.91E-05	2.17E-05	NO						
yncC	b1450	0.00E+00	2.96E-06	2.78E-06	6.22E-06	5.63E-06	5.61E-06	1.26E-05	NO						
yncE	b1452	1.40E-04	7.82E-05	8.77E-05	7.23E-05	8.86E-05	1.44E-04	2.03E-04	NO						
yncG	b1454	0.00E+00	1.19E-06	2.54E-06	4.08E-06	1.53E-06	4.92E-06	5.00E-06	NO						
yncH	b1455	0.00E+00	0.00E+00	6.91E-07	2.03E-07	0.00E+00	6.13E-07	0.00E+00	NO						
rhsE	b1456	5.36E-06	7.42E-06	7.64E-06	1.00E-05	2.09E-05	1.61E-05	1.85E-05	NO						
ydcD	b1457	0.00E+00	4.15E-06	3.93E-06	6.08E-06	6.65E-06	1.50E-05	9.99E-06	NO						
yncI	b1459	0.00E+00	6.13E-06	8.10E-06	9.42E-06	1.43E-05	1.63E-05	6.66E-06	NO						
yncI	b1459	0.00E+00	7.89E-07	6.93E-07	2.03E-06	4.60E-06	2.46E-06	2.49E-06	NO						
ydcC	b1460	0.00E+00	1.68E-06	2.31E-06	7.82E-06	1.12E-05	1.05E-05	1.16E-05	NO						
pptA	b1461	2.01E-06	2.76E-06	2.90E-06	3.57E-06	5.02E-06	3.88E-06	7.47E-06	NO						
nhoA	b1463	5.75E-06	6.92E-06	7.87E-06	8.97E-06	7.93E-06	1.03E-05	7.50E-06	NO						
fdnG	b1474	8.16E-06	1.74E-05	2.29E-05	5.04E-05	6.01E-05	5.12E-05	3.71E-05	NO						
fdnH	b1475	0.00E+00	2.37E-06	4.40E-06	6.42E-06	6.65E-06	6.98E-06	2.92E-06	NO						
fdnI	b1476	8.23E-06	3.19E-06	6.62E-06	5.71E-06	4.86E-06	4.71E-06	1.67E-06	NO						
osmC	b1482	4.66E-06	8.09E-06	9.71E-06	3.58E-05	5.88E-05	5.24E-05	8.15E-05	NO						
lsrA	b1513	0.00E+00	7.91E-07	1.16E-06	1.84E-06	1.02E-06	2.26E-06	1.67E-06	NO						
lsrC	b1514	0.00E+00	1.98E-07	2.66E-06	2.72E-06	1.02E-06	1.64E-06	0.00E+00	NO						
lsrD	b1515	0.00E+00	9.88E-07	4.63E-07	1.22E-06	2.56E-07	3.08E-06	0.00E+00	NO						
lsrB	b1516	0.00E+00	1.78E-06	2.32E-06	4.69E-06	3.33E-06	4.93E-06	9.58E-06	NO						
lsrF	b1517	5.75E-06	1.98E-06	1.85E-06	3.67E-06	2.51E-06	5.33E-06	3.33E-06	NO						
lsrG	b1518	0.00E+00	1.97E-06	2.31E-07	6.10E-07	1.79E-06	1.84E-06	2.49E-06	NO						
tam	b1519	4.35E-06	2.37E-06	4.40E-06	3.87E-06	3.33E-06	3.76E-06	7.08E-06	NO						
yneJ	b1526	2.86E-05	1.17E-05	1.23E-05	1.99E-05	1.89E-05	1.42E-05	1.50E-05	NO						
yneK	b1527	0.00E+00	3.16E-06	1.39E-06	1.22E-06	7.68E-07	2.67E-06	4.17E-06	NO						
ydeA	b1528	3.31E-05	3.35E-05	3.31E-05	4.88E-05	6.02E-05	5.46E-05	4.85E-05	NO						
marR	b1530	2.22E-06	1.93E-05	3.06E-05	8.47E-05	6.42E-05	4.43E-05	6.79E-05	NO						
marA	b1531	4.53E-05	2.57E-05	2.54E-05	5.12E-05	4.01E-05	3.21E-05	4.57E-05	NO						
marB	b1532	1.49E-05	1.05E-05	4.61E-06	1.69E-05	2.99E-05	1.31E-05	2.06E-05	NO						
ydeE	b1534	7.77E-07	1.29E-05	1.83E-05	3.95E-05	4.79E-05	7.75E-05	4.67E-05	NO						
yneM	b4599	3.06E-07	1.60E-05	1.37E-05	3.07E-05	4.57E-05	4.61E-05	3.71E-05	NO						
ydeJ	b1537	0.00E+00	9.87E-07	1.16E-06	2.17E-06	2.81E-06	1.64E-06	6.66E-06	NO						
ydfG	b1539	2.14E-04	1.43E-04	1.54E-04	2.28E-04	2.50E-04	3.06E-04	3.04E-04	NO						
ydfH	b1540	3.62E-05	7.71E-05	8.09E-05	1.86E-04	2.44E-04	2.26E-04	1.74E-04	NO						
ydfZ	b1541	3.09E-06	9.84E-06	1.64E-05	2.07E-05	2.32E-05	1.41E-05	9.29E-06	NO						
ynfO	b4533	0.00E+00	0.00E+00	0.00E+00	3.05E-07	7.65E-07	2.04E-07	0.00E+00	NO						
ydfO	b1549	0.00E+00	9.87E-07	0.00E+00	2.04E-07	0.00E+00	1.02E-06	0.00E+00	NO						
ydfV	b1565	0.00E+00	0.00E+00	1.39E-06	8.14E-07	2.55E-07	1.02E-06	8.31E-07	NO						
flxA	b1566	0.00E+00	3.94E-07	2.19E-06	1.49E-06	0.00E+00	1.43E-06	1.66E-06	NO						
dicA	b1570	2.17E-05	2.29E-05	1.33E-05	1.59E-05	1.81E-05	1.87E-05	1.83E-05	NO						
ydfA	b1571	1.54E-07	1.77E-06	2.99E-06	2.43E-06	2.80E-06	1.43E-06	1.65E-06	NO						
ydfB	b1572	1.08E-05	7.84E-07	9.18E-07	1.21E-06	0.00E+00	1.02E-06	8.26E-07	NO						
rzpQ	b1573	0.00E+00	3.90E-07	1.37E-06	4.02E-07	2.27E-06	2.02E-07	8.22E-07	NO						
dicB	b1575	0.00E+00	1.18E-06	2.30E-07	1.62E-06	0.00E+00	1.63E-06	0.00E+00	NO						
ydfD	b1576	0.00E+00	9.83E-07	1.15E-06	4.06E-07	0.00E+00	2.04E-07	0.00E+00	NO						
ydfE	b1577	1.09E-06	7.90E-07	2.31E-06	3.06E-06	1.02E-06	3.28E-06	3.33E-06	NO						
insD	b1578	9.40E-06	8.96E-06	1.22E-05	2.93E-05	3.14E-05	2.04E-05	1.55E-05	NO						
intQ	b1579	0.00E+00	5.93E-07	3.47E-06	4.79E-06	6.66E-06	6.36E-06	1.00E-05	NO						
ynfB	b1583	1.50E-05	2.26E-05	1.93E-05	2.26E-05	3.50E-05	2.20E-05	3.16E-05	NO						
speG	b1584	3.79E-05	5.05E-05	4.70E-05	4.22E-05	5.07E-05	4.59E-05	4.80E-05	NO						
ynfE	b1587	6.69E-06	3.56E-06	8.57E-06	5.87E-05	8.57E-05	6.49E-05	5.09E-05	NO						
ynfF	b1588	1.56E-05	9.10E-06	1.25E-05	3.47E-05	5.28E-05	6.06E-05	5.84E-05	NO						
ynfG	b1589	0.00E+00	2.37E-06	5.78E-06	6.72E-06	7.16E-06	1.13E-05	1.50E-05	NO						
ynfH	b1590	2.02E-06	9.29E-06	2.09E-05	3.16E-05	2.97E-05	5.29E-05	7.03E-05	NO						
dmsD	b1591	3.51E-05	2.50E-05	4.03E-05	6.96E-05	8.12E-05	8.01E-05	9.58E-05	NO						
clcB	b1592	1.63E-05	1.01E-05	1.85E-05	3.38E-05	3.76E-05	3.65E-05	2.92E-05	NO						
ynfM	b1596	6.99E-06	6.33E-06	9.49E-06	9.99E-06	3.07E-06	1.38E-05	7.83E-06	NO						
asr	b1597	0.00E+00	0.00E+00	4.62E-07	4.07E-07	0.00E+00	4.09E-07	8.31E-07	NO						
ydgU	b4601	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	NO						
ydgD	b1598	2.98E-05	2.35E-05	2.82E-05	3.62E-05	4.56E-05	4.45E-05	5.25E-05	NO						
tqsA	b1601	4.04E-06	1.09E-05	2.02E-05	3.81E-05	4.38E-05	4.43E-05	2.54E-05	NO						
ydgH	b1604	2.03E-04	2.00E-04	1.68E-04	1.77E-04	1.86E-04	1.78E-04	1.91E-04	NO						
ydgI	b1605	1.41E-05	6.28E-05	6.04E-05	4.77E-05	3.30E-05	1.93E-05	2.97E-05	NO						
folM	b1606	2.59E-05	2.92E-05	3.62E-05	2.28E-05	2.64E-05	1.89E-05	2.81E-05	NO						
rstA	b1608	3.76E-05	6.08E-05	8.03E-05	4.77E-05	3.41E-05	2.64E-05	2.42E-05	NO						
rstB	b1609	5.86E-05	7.95E-05	9.55E-05	7.68E-05	5.86E-05	5.84E-05	3.92E-05	NO						
tus	b1610	1.71E-06	1.74E-05	1.62E-05	3.61E-05	4.84E-05	2.97E-05	1.76E-05	NO						
manA	b1613	1.30E-04	1.20E-04	7.72E-05	6.88E-05	8.14E-05	8.97E-05	1.11E-04	NO						
ydgA	b1614	2.76E-04	2.56E-04	2.01E-04	1.42E-04	1.57E-04	1.56E-04	2.09E-04	NO						
malX	b1621	1.32E-05	1.31E-05	1.54E-05	1.55E-05	3.35E-05	1.72E-05	1.56E-05	NO						
malY	b1622	6.37E-05	2.04E-05	3.36E-05	3.88E-05	2.77E-05	4.02E-05	7.00E-05	NO						
add	b1623	2.25E-05	2.77E-05	2.43E-05	3.57E-05	4.28E-05	3.31E-05	2.83E-05	NO						
blr	b4409	0.00E+00	1.42E-05	8.14E-06	1.19E-05	1.12E-05	1.50E-05	1.05E-05	NO						
cnu	b1625	0.00E+00	6.40E-06	5.30E-06	1.08E-05	1.48E-05	1.24E-05	2.65E-05	NO						
ydgK	b1626	1.04E-05	2.66E-05	4.38E-05	5.01E-05	5.60E-05	6.20E-05	1.08E-04	NO						
rsxA	b1627	2.21E-05	7.35E-05	9.48E-05	1.17E-04	9.92E-05	1.25E-04	1.79E-04	NO						
rsxB	b1628	3.82E-05	1.02E-04	1.14E-04	1.10E-04	1.23E-04	9.15E-05	1.61E-04	NO						
rsxC	b1629	1.38E-04	2.42E-04	3.12E-04	2.79E-04	2.83E-04	1.98E-04	2.39E-04	NO						
rsxD	b1630	2.35E-05	8.80E-05	1.36E-04	1.16E-04	9.73E-05	8.53E-05	5.00E-05	NO						
rsxG	b1631	5.73E-05	6.85E-05	1.11E-04	8.21E-05	6.91E-05	5.59E-05	4.17E-05	NO						
rsxE	b1632	1.70E-05	5.97E-05	1.05E-04	7.80E-05	6.95E-05	5.52E-05	3.79E-05	NO						
nth	b1633	6.10E-05	5.50E-05	8.49E-05	6.12E-05	5.78E-05	3.81E-05	3.58E-05	NO						
tppB	b1634	4.20E-04	4.63E-04	5.17E-04	3.18E-04	2.65E-04	2.46E-04	2.61E-04	NO						
gst	b1635	3.06E-05	2.01E-05	1.86E-05	1.08E-05	1.82E-05	1.64E-05	2.00E-05	NO						
slyB	b1641	4.48E-04	4.02E-04	3.78E-04	1.97E-04	1.51E-04	1.20E-04	1.67E-04	NO						
ydhI	b1643	1.08E-06	1.59E-05	1.68E-05	1.84E-05	1.40E-05	1.20E-05	1.42E-05	NO						
ydhJ	b1644	2.12E-05	3.14E-05	3.69E-05	4.75E-05	3.38E-05	2.82E-05	2.83E-05	NO						
ydhK	b1645	1.71E-06	3.84E-05	5.20E-05	6.25E-05	6.51E-05	4.70E-05	3.96E-05	NO						
ydhM	b1649	4.35E-06	1.05E-05	1.60E-05	1.67E-05	1.74E-05	1.47E-05	2.33E-05	NO						
nemA	b1650	5.35E-05	3.79E-05	3.41E-05	3.56E-05	5.63E-05	4.39E-05	7.17E-05	NO						
gloA	b1651	6.81E-05	3.88E-05	3.49E-05	2.33E-05	3.07E-05	2.06E-05	2.83E-05	NO						
rnt	b1652	4.21E-05	3.87E-05	2.71E-05	2.80E-05	2.87E-05	2.46E-05	3.41E-05	NO						
lhr	b1653	2.43E-05	3.20E-05	5.54E-05	9.11E-05	1.21E-04	9.44E-05	1.25E-04	NO						
ydhO	b1655	9.32E-06	2.38E-05	1.71E-05	9.58E-06	8.70E-06	8.62E-06	1.58E-05	NO						
sodB	b1656	5.34E-04	5.29E-04	3.51E-04	3.71E-04	4.36E-04	3.87E-04	4.73E-04	NO						
purR	b1658	3.37E-04	3.16E-04	3.42E-04	2.81E-04	2.66E-04	2.26E-04	2.75E-04	NO						
ydhC	b1660	7.46E-05	5.89E-05	4.59E-05	3.15E-05	2.89E-05	2.86E-05	3.25E-05	NO						
cfa	b1661	1.31E-04	1.49E-04	1.48E-04	1.91E-04	1.66E-04	1.26E-04	1.09E-04	NO						
mdtK	b1663	9.61E-05	7.89E-05	1.33E-04	2.60E-04	2.75E-04	3.23E-04	4.64E-04	NO						
ydhR	b1667	4.96E-05	1.92E-04	3.70E-04	7.06E-04	6.94E-04	6.97E-04	7.89E-04	NO						
ydhS	b1668	6.22E-07	5.33E-05	1.56E-04	3.12E-04	2.49E-04	1.34E-04	1.41E-04	NO						
pykF	b1676	5.36E-04	6.01E-04	5.09E-04	4.77E-04	4.65E-04	3.67E-04	7.44E-04	NO						
lpp	b1677	8.81E-03	9.23E-03	7.69E-03	8.24E-03	6.30E-03	5.65E-03	7.06E-03	NO						
ydiK	b1688	6.28E-05	6.57E-05	6.89E-05	6.04E-05	7.78E-05	7.20E-05	9.17E-05	NO						
ydiL	b1689	0.00E+00	1.78E-06	7.52E-06	2.06E-05	2.20E-05	7.94E-06	8.32E-07	NO						
ydiM	b1690	0.00E+00	1.38E-06	1.62E-06	2.35E-05	2.36E-05	3.11E-05	8.33E-06	NO						
ydiN	b1691	0.00E+00	5.93E-07	9.26E-07	9.79E-06	1.36E-05	2.26E-05	1.42E-05	NO						
ydiB	b1692	0.00E+00	5.73E-06	1.62E-06	1.21E-05	1.23E-05	1.48E-05	9.16E-06	NO						
aroD	b1693	2.36E-05	1.73E-05	1.06E-05	1.54E-05	1.56E-05	1.74E-05	1.17E-05	NO						
ydiF	b1694	0.00E+00	3.56E-06	4.40E-06	2.45E-06	2.30E-06	6.77E-06	2.50E-06	NO						
ydiO	b1695	0.00E+00	1.78E-06	3.24E-06	4.49E-06	6.40E-06	4.31E-06	4.05E-06	NO						
ydiQ	b1697	0.00E+00	7.90E-07	1.16E-06	1.63E-06	0.00E+00	1.74E-06	3.33E-06	NO						
ydiR	b1698	0.00E+00	3.56E-06	3.01E-06	3.47E-06	7.17E-06	4.31E-06	3.33E-06	NO						
ydiS	b1699	0.00E+00	2.17E-06	1.16E-05	1.31E-05	8.96E-06	7.29E-06	6.67E-06	NO						
ydiT	b1700	0.00E+00	0.00E+00	1.39E-06	2.03E-07	7.66E-07	2.05E-07	0.00E+00	NO						
fadK	b1701	0.00E+00	2.57E-06	2.84E-06	4.49E-06	5.38E-06	5.66E-06	9.17E-06	NO						
ydiA	b1703	2.39E-05	2.87E-05	1.45E-05	1.16E-05	4.86E-06	1.01E-05	1.33E-05	NO						
aroH	b1704	1.61E-04	1.06E-04	7.39E-05	2.26E-05	1.66E-05	1.64E-05	2.00E-05	NO						
ydiE	b1705	0.00E+00	4.52E-06	7.37E-06	4.67E-06	1.35E-05	2.10E-05	1.34E-05	NO						
arpB	b4494	0.00E+00	1.97E-07	0.00E+00	1.02E-06	0.00E+00	1.02E-06	0.00E+00	NO						
arpB	b4494	1.55E-07	3.95E-07	6.95E-07	4.38E-06	8.19E-06	3.49E-06	3.33E-06	NO						
yniD	b4535	5.07E-06	1.76E-06	3.43E-06	4.74E-06	3.67E-06	2.33E-06	7.41E-06	NO						
pfkB	b1723	1.18E-05	2.04E-05	1.69E-05	2.40E-05	5.22E-05	3.72E-05	5.50E-05	NO						
ydiZ	b1724	0.00E+00	3.06E-06	3.46E-06	6.60E-06	3.83E-06	8.44E-06	1.76E-05	NO						
yniA	b1725	4.97E-06	9.68E-06	7.41E-06	1.21E-05	1.77E-05	1.99E-05	4.00E-05	NO						
yniC	b1727	3.34E-05	3.42E-05	1.90E-05	1.67E-05	2.30E-05	2.24E-05	2.81E-05	NO						
ydjM	b1728	4.97E-06	1.59E-05	1.10E-05	3.81E-05	4.83E-05	3.39E-05	4.41E-05	NO						
ydjN	b1729	1.59E-03	2.24E-03	2.17E-03	8.21E-04	6.13E-04	5.96E-04	2.36E-04	NO						
katE	b1732	4.51E-06	2.37E-06	2.29E-05	2.12E-05	1.38E-05	1.64E-05	3.25E-05	NO						
nadE	b1740	1.65E-04	1.25E-04	9.18E-05	1.13E-04	1.36E-04	1.34E-04	1.27E-04	NO						
cho	b1741	1.07E-05	2.49E-05	4.12E-05	1.14E-04	1.34E-04	1.21E-04	5.75E-05	NO						
